Name,Author,Rating,Review,Genre,Price,Year,User Rating,Reviews
olol,asd,0.0,3.0,Non Fiction,5,2010,,
ALLo,BREE,3.4,4.0,Non Fiction,4,2009,,
ALLo,BREE,3.4,4.0,Non Fiction,4,2009,,
,,0.0,0.0,Non Fiction,1,2009,,
,,0.0,0.0,Non Fiction,1,2009,,
Hello,World,2.3,5.0,Non Fiction,16,2017,,
Hello,,0.0,0.0,Non Fiction,1,2009,,
,,0.0,0.0,Non Fiction,1,2009,,
Bukuroshe 101,Usame,5.0,5.0,beauty,19,2025,,
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,,,Non Fiction,17,2009,4.6,5013.0
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,,,Non Fiction,5,2009,4.6,798.0
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,,,Fiction,13,2009,4.6,9769.0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,,,Non Fiction,14,2009,4.7,1542.0
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,,,Fiction,4,2009,4.6,1541.0
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,,,Fiction,15,2009,4.8,3837.0
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,,,Non Fiction,6,2009,4.6,37.0
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,,,Fiction,12,2009,4.8,3181.0
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,,,Non Fiction,1,2009,4.5,720.0
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,,,Non Fiction,14,2009,4.3,956.0
Eclipse (Twilight Sagas),Stephenie Meyer,,,Fiction,7,2009,4.7,5505.0
Eclipse (Twilight),Stephenie Meyer,,,Fiction,18,2009,4.7,5505.0
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,,,Non Fiction,11,2009,4.6,1365.0
Going Rogue: An American Life,Sarah Palin,,,Non Fiction,6,2009,4.6,1636.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,,,Non Fiction,14,2009,4.5,3457.0
Have a Little Faith: A True Story,Mitch Albom,,,Non Fiction,4,2009,4.8,1930.0
"I, Alex Cross",James Patterson,,,Fiction,7,2009,4.6,1320.0
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,,,Non Fiction,15,2009,4.8,3828.0
"Mastering the Art of French Cooking, Vol. 2",Julia Child,,,Non Fiction,27,2009,4.8,2926.0
New Moon (The Twilight Saga),Stephenie Meyer,,,Fiction,10,2009,4.6,5680.0
Olive Kitteridge,Elizabeth Strout,,,Fiction,12,2009,4.2,4519.0
Outliers: The Story of Success,Malcolm Gladwell,,,Non Fiction,20,2009,4.6,10426.0
